beneficiary_id,name,age,gender,state,program,education_level,enrollment_date,scholarship_amount,status
BEN0001,Student 1,14,Female,Uttar Pradesh,Digital Literacy,Primary,2021-08-17,7500,Active
BEN0002,Student 2,27,Female,Madhya Pradesh,Skill Development,Senior Secondary,2021-02-21,5000,Completed
BEN0003,Student 3,22,Female,Bihar,Health & Nutrition,Primary,2022-07-18,0,Active
BEN0004,Student 4,18,Female,Delhi,Career Guidance,Graduate,2022-05-17,3500,Completed
BEN0005,Student 5,15,Female,Haryana,Health & Nutrition,Senior Secondary,2022-04-03,2000,Completed
BEN0006,Student 6,14,Male,Maharashtra,Career Guidance,Vocational,2021-10-13,3500,Completed
BEN0007,Student 7,26,Male,Maharashtra,Women Empowerment,Graduate,2021-07-29,5000,Completed
BEN0008,Student 8,18,Male,Jharkhand,Health & Nutrition,Vocational,2021-06-28,5000,Completed
BEN0009,Student 9,18,Female,Rajasthan,Skill Development,Secondary,2023-05-15,5000,Active
BEN0010,Student 10,11,Male,Jharkhand,Skill Development,Graduate,2021-03-07,0,Active
BEN0011,Student 11,15,Female,Bihar,Health & Nutrition,Secondary,2021-03-03,0,Dropped
BEN0012,Student 12,10,Male,Delhi,Skill Development,Graduate,2021-07-11,5000,Active
BEN0013,Student 13,9,Female,Bihar,Women Empowerment,Graduate,2022-03-24,0,Completed
BEN0014,Student 14,19,Female,Bihar,Scholarship Program,Secondary,2022-04-22,2000,Dropped
BEN0015,Student 15,13,Female,Maharashtra,Women Empowerment,Senior Secondary,2023-11-01,0,Active
BEN0016,Student 16,9,Male,Delhi,Career Guidance,Primary,2021-02-24,3500,Completed
BEN0017,Student 17,8,Female,Delhi,Women Empowerment,Vocational,2022-02-12,0,Active
BEN0018,Student 18,19,Female,Uttar Pradesh,Career Guidance,Graduate,2023-05-10,3500,Completed
BEN0019,Student 19,19,Male,Uttar Pradesh,Skill Development,Vocational,2022-03-28,10000,Active
BEN0020,Student 20,24,Female,Maharashtra,Scholarship Program,Secondary,2023-07-09,0,Active
BEN0021,Student 21,17,Female,Uttar Pradesh,Skill Development,Vocational,2022-07-24,0,Completed
BEN0022,Student 22,23,Male,Madhya Pradesh,Digital Literacy,Secondary,2021-01-14,2000,Completed
BEN0023,Student 23,22,Female,Bihar,Skill Development,Vocational,2021-11-23,7500,Completed
BEN0024,Student 24,22,Male,Rajasthan,Career Guidance,Primary,2023-05-16,0,Active
BEN0025,Student 25,26,Male,West Bengal,Skill Development,Primary,2022-11-28,2000,Active
BEN0026,Student 26,19,Male,Bihar,Skill Development,Primary,2022-07-24,0,Completed
BEN0027,Student 27,27,Male,Jharkhand,Scholarship Program,Primary,2021-11-15,5000,Active
BEN0028,Student 28,10,Male,Bihar,Skill Development,Primary,2022-03-17,2000,Dropped
BEN0029,Student 29,12,Female,Uttar Pradesh,Scholarship Program,Primary,2022-11-21,5000,Completed
BEN0030,Student 30,26,Female,Punjab,Health & Nutrition,Secondary,2021-07-29,7500,Completed
BEN0031,Student 31,14,Female,Delhi,Digital Literacy,Graduate,2021-07-09,0,Dropped
BEN0032,Student 32,16,Female,Delhi,Scholarship Program,Vocational,2023-02-18,5000,Active
BEN0033,Student 33,14,Female,Jharkhand,Career Guidance,Primary,2021-07-18,0,Completed
BEN0034,Student 34,25,Female,Delhi,Health & Nutrition,Secondary,2023-01-06,7500,Active
BEN0035,Student 35,11,Male,West Bengal,Scholarship Program,Secondary,2022-12-06,3500,Dropped
BEN0036,Student 36,21,Male,Bihar,Scholarship Program,Secondary,2022-06-26,7500,Active
BEN0037,Student 37,25,Female,Haryana,Digital Literacy,Graduate,2021-03-30,0,Completed
BEN0038,Student 38,16,Male,Maharashtra,Career Guidance,Vocational,2023-07-30,0,Completed
BEN0039,Student 39,9,Female,Madhya Pradesh,Women Empowerment,Graduate,2021-09-13,2000,Active
BEN0040,Student 40,27,Male,Haryana,Women Empowerment,Senior Secondary,2023-02-15,2000,Active
BEN0041,Student 41,22,Female,Bihar,Scholarship Program,Secondary,2021-06-11,0,Completed
BEN0042,Student 42,14,Other,Punjab,Skill Development,Senior Secondary,2022-08-24,2000,Active
BEN0043,Student 43,19,Female,Delhi,Career Guidance,Primary,2023-01-11,0,Active
BEN0044,Student 44,15,Male,Bihar,Health & Nutrition,Primary,2022-01-29,2000,Active
BEN0045,Student 45,22,Male,Uttar Pradesh,Skill Development,Graduate,2021-05-23,5000,Active
BEN0046,Student 46,10,Female,Rajasthan,Skill Development,Vocational,2021-04-04,2000,Completed
BEN0047,Student 47,21,Female,Delhi,Career Guidance,Senior Secondary,2022-04-12,0,Completed
BEN0048,Student 48,24,Male,West Bengal,Scholarship Program,Vocational,2022-08-16,2000,Active
BEN0049,Student 49,11,Female,West Bengal,Scholarship Program,Graduate,2021-06-13,0,Active
BEN0050,Student 50,25,Male,Punjab,Scholarship Program,Primary,2022-04-22,10000,Active
BEN0051,Student 51,15,Male,Delhi,Scholarship Program,Vocational,2021-07-26,0,Active
BEN0052,Student 52,11,Male,Madhya Pradesh,Women Empowerment,Vocational,2023-02-18,5000,Active
BEN0053,Student 53,9,Male,Bihar,Scholarship Program,Primary,2022-07-24,10000,Active
BEN0054,Student 54,13,Other,Uttar Pradesh,Women Empowerment,Senior Secondary,2023-07-18,5000,Active
BEN0055,Student 55,17,Female,Uttar Pradesh,Women Empowerment,Primary,2023-01-18,3500,Completed
BEN0056,Student 56,11,Male,Bihar,Scholarship Program,Vocational,2021-11-30,5000,Active
BEN0057,Student 57,25,Female,Maharashtra,Digital Literacy,Senior Secondary,2023-01-29,10000,Completed
BEN0058,Student 58,19,Female,Rajasthan,Health & Nutrition,Senior Secondary,2022-12-29,3500,Completed
BEN0059,Student 59,9,Female,Bihar,Skill Development,Primary,2022-03-06,3500,Completed
BEN0060,Student 60,17,Male,Delhi,Women Empowerment,Vocational,2022-07-01,3500,Completed
BEN0061,Student 61,11,Male,Delhi,Career Guidance,Graduate,2021-05-27,3500,Active
BEN0062,Student 62,21,Male,Delhi,Career Guidance,Vocational,2021-12-17,3500,Completed
BEN0063,Student 63,23,Male,Punjab,Health & Nutrition,Secondary,2023-12-30,2000,Completed
BEN0064,Student 64,22,Male,Delhi,Career Guidance,Graduate,2022-05-17,0,Active
